# t=5.00
# x u
0.2500000000 7.7513471667668948e-02
0.7500000000 7.9704018235154120e-02
1.2500000000 8.3874727344702554e-02
1.7500000000 8.9623881290216464e-02
2.2500000000 9.6395253855162372e-02
2.7500000000 1.0353005930180199e-01
3.2500000000 1.1032989420200670e-01
3.7500000000 1.1612510117337542e-01
4.2500000000 1.2034186330878720e-01
4.7500000000 1.2256087221154496e-01
5.2500000000 1.2256087221154496e-01
5.7500000000 1.2034186330878720e-01
6.2500000000 1.1612510117337542e-01
6.7500000000 1.1032989420200669e-01
7.2500000000 1.0353005930180199e-01
7.7500000000 9.6395253855162372e-02
8.2500000000 8.9623881290216464e-02
8.7500000000 8.3874727344702554e-02
9.2500000000 7.9704018235154134e-02
9.7500000000 7.7513471667668962e-02
