# t=1.00
# x u
0.2500000000 8.5095994622667870e-03
0.7500000000 1.3120110577175608e-02
1.2500000000 2.3271200975411237e-02
1.7500000000 4.0420905534095261e-02
2.2500000000 6.5748087795871740e-02
2.7500000000 9.9060294934531654e-02
3.2500000000 1.3779168445213921e-01
3.7500000000 1.7668198711793709e-01
4.2500000000 2.0863813110490470e-01
4.7500000000 2.2675714063608704e-01
5.2500000000 2.2675714063608704e-01
5.7500000000 2.0863813110490473e-01
6.2500000000 1.7668198711793712e-01
6.7500000000 1.3779168445213924e-01
7.2500000000 9.9060294934531667e-02
7.7500000000 6.5748087795871740e-02
8.2500000000 4.0420905534095261e-02
8.7500000000 2.3271200975411237e-02
9.2500000000 1.3120110577175608e-02
9.7500000000 8.5095994622667870e-03
