# t=2.00
# x u
0.2500000000 3.0667391193477139e-02
0.7500000000 3.6404811991635699e-02
1.2500000000 4.7708363294499963e-02
1.7500000000 6.4111733626724662e-02
2.2500000000 8.4664883326552864e-02
2.7500000000 1.0778000607265238e-01
3.2500000000 1.3121875776731143e-01
3.7500000000 1.5229130704927138e-01
4.2500000000 1.6826425589339492e-01
4.7500000000 1.7688763237489988e-01
5.2500000000 1.7688763237489988e-01
5.7500000000 1.6826425589339492e-01
6.2500000000 1.5229130704927138e-01
6.7500000000 1.3121875776731143e-01
7.2500000000 1.0778000607265238e-01
7.7500000000 8.4664883326552864e-02
8.2500000000 6.4111733626724662e-02
8.7500000000 4.7708363294499970e-02
9.2500000000 3.6404811991635713e-02
9.7500000000 3.0667391193477146e-02
