# t=4.00
# x u
0.2500000000 6.6829385518170914e-02
0.7500000000 7.0027023531818847e-02
1.2500000000 7.6128119821568876e-02
1.7500000000 8.4565930512709581e-02
2.2500000000 9.4544996939454160e-02
2.7500000000 1.0510736744643677e-01
3.2500000000 1.1521915336033589e-01
3.7500000000 1.2387170869469605e-01
4.2500000000 1.3018754963017964e-01
4.7500000000 1.3351790713504999e-01
5.2500000000 1.3351790713504999e-01
5.7500000000 1.3018754963017964e-01
6.2500000000 1.2387170869469605e-01
6.7500000000 1.1521915336033589e-01
7.2500000000 1.0510736744643678e-01
7.7500000000 9.4544996939454173e-02
8.2500000000 8.4565930512709594e-02
8.7500000000 7.6128119821568890e-02
9.2500000000 7.0027023531818861e-02
9.7500000000 6.6829385518170928e-02
