# t=3.00
# x u
0.2500000000 5.1445889111761782e-02
0.7500000000 5.5969394457835109e-02
1.2500000000 6.4660829041998380e-02
1.7500000000 7.6810837424698589e-02
2.2500000000 9.1372060515585538e-02
2.7500000000 1.0700754782207902e-01
3.2500000000 1.2218763951865039e-01
3.7500000000 1.3533899893966017e-01
4.2500000000 1.4503178530345487e-01
4.7500000000 1.5017416045469650e-01
5.2500000000 1.5017416045469650e-01
5.7500000000 1.4503178530345487e-01
6.2500000000 1.3533899893966017e-01
6.7500000000 1.2218763951865039e-01
7.2500000000 1.0700754782207902e-01
7.7500000000 9.1372060515585538e-02
8.2500000000 7.6810837424698603e-02
8.7500000000 6.4660829041998394e-02
9.2500000000 5.5969394457835123e-02
9.7500000000 5.1445889111761789e-02
