# t=5.00
# x u
0.2500000000 1.6304769192281375e-02
0.7500000000 3.2422268116248876e-02
1.2500000000 4.8134501343130992e-02
1.7500000000 6.3169549365860445e-02
2.2500000000 7.7191938902116883e-02
2.7500000000 8.9809931355272252e-02
3.2500000000 1.0059967630430726e-01
3.7500000000 1.0914271746507691e-01
4.2500000000 1.1507050496670659e-01
4.7500000000 1.1810794296237809e-01
5.2500000000 1.1810794296237809e-01
5.7500000000 1.1507050496670659e-01
6.2500000000 1.0914271746507691e-01
6.7500000000 1.0059967630430726e-01
7.2500000000 8.9809931355272252e-02
7.7500000000 7.7191938902116897e-02
8.2500000000 6.3169549365860458e-02
8.7500000000 4.8134501343130999e-02
9.2500000000 3.2422268116248883e-02
9.7500000000 1.6304769192281379e-02
