# t=3.00
# x u
0.2500000000 1.5809673702397754e-02
0.7500000000 3.2105691823640509e-02
1.2500000000 4.9207619365597387e-02
1.7500000000 6.7130566167773464e-02
2.2500000000 8.5502951972492192e-02
2.7500000000 1.0355947157229696e-01
3.2500000000 1.2021756979988957e-01
3.7500000000 1.3422978320162790e-01
4.2500000000 1.4438658812246613e-01
4.7500000000 1.4972973600545053e-01
5.2500000000 1.4972973600545053e-01
5.7500000000 1.4438658812246613e-01
6.2500000000 1.3422978320162790e-01
6.7500000000 1.2021756979988957e-01
7.2500000000 1.0355947157229696e-01
7.7500000000 8.5502951972492192e-02
8.2500000000 6.7130566167773464e-02
8.7500000000 4.9207619365597387e-02
9.2500000000 3.2105691823640509e-02
9.7500000000 1.5809673702397754e-02
