# t=2.00
# x u
0.2500000000 1.2185486050061936e-02
0.7500000000 2.5762864108117341e-02
1.2500000000 4.1850034980133177e-02
1.7500000000 6.1026495831707987e-02
2.2500000000 8.3109401403667321e-02
2.7500000000 1.0702863028699292e-01
3.2500000000 1.3087046264861754e-01
3.7500000000 1.5213538995844597e-01
4.2500000000 1.6819439237416373e-01
4.7500000000 1.7685005467160597e-01
5.2500000000 1.7685005467160597e-01
5.7500000000 1.6819439237416373e-01
6.2500000000 1.5213538995844597e-01
6.7500000000 1.3087046264861754e-01
7.2500000000 1.0702863028699290e-01
7.7500000000 8.3109401403667307e-02
8.2500000000 6.1026495831707987e-02
8.7500000000 4.1850034980133184e-02
9.2500000000 2.5762864108117345e-02
9.7500000000 1.2185486050061938e-02
