# t=4.00
# x u
0.2500000000 1.6703255106348867e-02
0.7500000000 3.3422728861184775e-02
1.2500000000 5.0098365828719869e-02
1.7500000000 6.6533660163399067e-02
2.2500000000 8.2364806248503744e-02
2.7500000000 9.7067047318424429e-02
3.2500000000 1.0999902902977329e-01
3.7500000000 1.2047837690243410e-01
4.2500000000 1.2787506764568490e-01
4.7500000000 1.3170493252388771e-01
5.2500000000 1.3170493252388771e-01
5.7500000000 1.2787506764568490e-01
6.2500000000 1.2047837690243410e-01
6.7500000000 1.0999902902977329e-01
7.2500000000 9.7067047318424429e-02
7.7500000000 8.2364806248503744e-02
8.2500000000 6.6533660163399067e-02
8.7500000000 5.0098365828719869e-02
9.2500000000 3.3422728861184775e-02
9.7500000000 1.6703255106348867e-02
