# t=1.00
# x u
0.2500000000 4.7306550988361956e-03
0.7500000000 1.1554197933169207e-02
1.2500000000 2.2664709427941188e-02
1.7500000000 4.0200990441623161e-02
2.2500000000 6.5673313647088477e-02
2.7500000000 9.9036417825361697e-02
3.2500000000 1.3778451315668980e-01
3.7500000000 1.7667995718875271e-01
4.2500000000 2.0863758272477104e-01
4.7500000000 2.2675697190997368e-01
5.2500000000 2.2675697190997368e-01
5.7500000000 2.0863758272477104e-01
6.2500000000 1.7667995718875271e-01
6.7500000000 1.3778451315668980e-01
7.2500000000 9.9036417825361697e-02
7.7500000000 6.5673313647088477e-02
8.2500000000 4.0200990441623161e-02
8.7500000000 2.2664709427941191e-02
9.2500000000 1.1554197933169209e-02
9.7500000000 4.7306550988361956e-03
