# n time_plain(ms)_mean time_plain(ms)_std nodes_plain_mean nodes_plain_std
5 0.000000e+00 0.000000e+00 6.400000e+00 2.653300e+00
6 0.000000e+00 0.000000e+00 1.880000e+01 6.273755e+00
7 0.000000e+00 0.000000e+00 3.500000e+01 1.822087e+01
8 0.000000e+00 0.000000e+00 1.462000e+02 5.483940e+01
9 0.000000e+00 0.000000e+00 2.978000e+02 1.424997e+02
10 3.125000e+00 6.250000e+00 1.751200e+03 4.036045e+02
11 0.000000e+00 0.000000e+00 5.526000e+03 2.334256e+03
12 1.250000e+01 1.169268e+01 2.541120e+04 5.273636e+03
13 7.187500e+01 3.903124e+01 1.301102e+05 7.202040e+04
14 5.093750e+02 1.399637e+02 9.039926e+05 2.536295e+05
15 3.850000e+03 1.931912e+03 6.814170e+06 3.284691e+06
