# t=1.00
# x u
0.0250000000 7.1562208015348572e-03
0.0750000000 7.1998890296571276e-03
0.1250000000 7.2873366152614097e-03
0.1750000000 7.4187853917970894e-03
0.2250000000 7.5945670456054109e-03
0.2750000000 7.8151218375000862e-03
0.3250000000 8.0809968952383401e-03
0.3750000000 8.3928440744634389e-03
0.4250000000 8.7514173852519563e-03
0.4750000000 9.1575699810537772e-03
0.5250000000 9.6122507065887677e-03
0.5750000000 1.0116500201178567e-02
0.6250000000 1.0671446554061142e-02
0.6750000000 1.1278300508474707e-02
0.7250000000 1.1938350211719160e-02
0.7750000000 1.2652955509019119e-02
0.8250000000 1.3423541779832494e-02
0.8750000000 1.4251593316279898e-02
0.9250000000 1.5138646244618557e-02
0.9750000000 1.6086280992153149e-02
1.0250000000 1.7096114303665793e-02
1.0750000000 1.8169790813357064e-02
1.1250000000 1.9308974180415016e-02
1.1750000000 2.0515337798663654e-02
1.2250000000 2.1790555093276202e-02
1.2750000000 2.3136289420261122e-02
1.3250000000 2.4554183587324523e-02
1.3750000000 2.6045849017765552e-02
1.4250000000 2.7612854582251132e-02
1.4750000000 2.9256715126621709e-02
1.5250000000 3.0978879727275727e-02
1.5750000000 3.2780719709140892e-02
1.6250000000 3.4663516464736477e-02
1.6750000000 3.6628449116332035e-02
1.7250000000 3.8676582066681758e-02
1.7750000000 4.0808852487226675e-02
1.8250000000 4.3026057795973703e-02
1.8750000000 4.5328843180445208e-02
1.9250000000 4.7717689224108781e-02
1.9750000000 5.0192899697507273e-02
2.0250000000 5.2754589577876008e-02
2.0750000000 5.5402673363322136e-02
2.1250000000 5.8136853749613158e-02
2.1750000000 6.0956610739242613e-02
2.2250000000 6.3861191253678395e-02
2.2750000000 6.6849599320520398e-02
2.3250000000 6.9920586907669613e-02
2.3750000000 7.3072645476514472e-02
2.4250000000 7.6303998325547087e-02
2.4750000000 7.9612593794711917e-02
2.5250000000 8.2996099399145012e-02
2.5750000000 8.6451896958771313e-02
2.6250000000 8.9977078787479237e-02
2.6750000000 9.3568445002285255e-02
2.7250000000 9.7222502009032929e-02
2.7750000000 1.0093546221674995e-01
2.8250000000 1.0470324502782022e-01
2.8750000000 1.0852147914563433e-01
2.9250000000 1.1238550623538043e-01
2.9750000000 1.1629038596715327e-01
3.0250000000 1.2023090246362726e-01
3.0750000000 1.2420157216719084e-01
3.1250000000 1.2819665313372025e-01
3.1750000000 1.3221015575212330e-01
3.2250000000 1.3623585488046058e-01
3.2750000000 1.4026730338090548e-01
3.3250000000 1.4429784702709497e-01
3.3750000000 1.4832064074861068e-01
3.4250000000 1.5232866616847812e-01
3.4750000000 1.5631475038075043e-01
3.5250000000 1.6027158590651416e-01
3.5750000000 1.6419175175809644e-01
3.6250000000 1.6806773553292473e-01
3.6750000000 1.7189195645047278e-01
3.7250000000 1.7565678923807945e-01
3.7750000000 1.7935458876422536e-01
3.8250000000 1.8297771531115653e-01
3.8750000000 1.8651856037261993e-01
3.9250000000 1.8996957285698249e-01
3.9750000000 1.9332328557119563e-01
4.0250000000 1.9657234185699712e-01
4.0750000000 1.9970952224745211e-01
4.1250000000 2.0272777100946782e-01
4.1750000000 2.0562022243630629e-01
4.2250000000 2.0838022675339118e-01
4.2750000000 2.1100137550088141e-01
4.3250000000 2.1347752625757563e-01
