# t=3.00
# x u
0.0250000000 5.0574655015565434e-02
0.0750000000 5.0621082291500676e-02
0.1250000000 5.0713900266676340e-02
0.1750000000 5.0853035787603300e-02
0.2250000000 5.1038379123939950e-02
0.2750000000 5.1269783968755173e-02
0.3250000000 5.1547067439531830e-02
0.3750000000 5.1870010080465684e-02
0.4250000000 5.2238355866749089e-02
0.4750000000 5.2651812211659127e-02
0.5250000000 5.3110049977396351e-02
0.5750000000 5.3612703490742597e-02
0.6250000000 5.4159370564722822e-02
0.6750000000 5.4749612527567645e-02
0.7250000000 5.5382954260377315e-02
0.7750000000 5.6058884244986763e-02
0.8250000000 5.6776854623621267e-02
0.8750000000 5.7536281272015828e-02
0.9250000000 5.8336543887745299e-02
0.9750000000 5.9176986095578900e-02
1.0250000000 6.0056915571729153e-02
1.0750000000 6.0975604188912978e-02
1.1250000000 6.1932288184180340e-02
1.1750000000 6.2926168351493617e-02
1.2250000000 6.3956410261058638e-02
1.2750000000 6.5022144507414878e-02
1.3250000000 6.6122466988289885e-02
1.3750000000 6.7256439216207636e-02
1.4250000000 6.8423088664816972e-02
1.4750000000 6.9621409151869859e-02
1.5250000000 7.0850361260733366e-02
1.5750000000 7.2108872802261914e-02
1.6250000000 7.3395839318789458e-02
1.6750000000 7.4710124631922920e-02
1.7250000000 7.6050561435730329e-02
1.7750000000 7.7415951936818939e-02
1.8250000000 7.8805068542691384e-02
1.8750000000 8.0216654599650286e-02
1.9250000000 8.1649425181396701e-02
1.9750000000 8.3102067929331974e-02
2.0250000000 8.4573243945431420e-02
2.0750000000 8.6061588738406941e-02
2.1250000000 8.7565713223718505e-02
2.1750000000 8.9084204777831133e-02
2.2250000000 9.0615628346943144e-02
2.2750000000 9.2158527610236754e-02
2.3250000000 9.3711426197522180e-02
2.3750000000 9.5272828960961703e-02
2.4250000000 9.6841223300373133e-02
2.4750000000 9.8415080541421951e-02
2.5250000000 9.9992857365818838e-02
2.5750000000 1.0157299729244637e-01
2.6250000000 1.0315393220814445e-01
2.6750000000 1.0473408394669081e-01
2.7250000000 1.0631186591431983e-01
2.7750000000 1.0788568475993252e-01
2.8250000000 1.0945394208796236e-01
2.8750000000 1.1101503621167649e-01
2.9250000000 1.1256736394451071e-01
2.9750000000 1.1410932242686173e-01
3.0250000000 1.1563931098558820e-01
3.0750000000 1.1715573302330895e-01
3.1250000000 1.1865699793442906e-01
3.1750000000 1.2014152304467487e-01
3.2250000000 1.2160773557077773e-01
3.2750000000 1.2305407459681346e-01
3.3250000000 1.2447899306358239e-01
3.3750000000 1.2588095976730090e-01
3.4250000000 1.2725846136377383e-01
3.4750000000 1.2861000437412573e-01
3.5250000000 1.2993411718808864e-01
3.5750000000 1.3122935206077765e-01
3.6250000000 1.3249428709882849e-01
3.6750000000 1.3372752823172973e-01
3.7250000000 1.3492771116415148e-01
3.7750000000 1.3609350330505632e-01
3.8250000000 1.3722360566937408e-01
3.8750000000 1.3831675474803234e-01
3.9250000000 1.3937172434215789e-01
3.9750000000 1.4038732735730114e-01
4.0250000000 1.4136241755358642e-01
4.0750000000 1.4229589124775416e-01
4.1250000000 1.4318668896313891e-01
4.1750000000 1.4403379702371655e-01
4.2250000000 1.4483624908845816e-01
4.2750000000 1.4559312762234286e-01
4.3250000000 1.4630356530051003e-01
4.3750000000 1.4696674634217147e-01
4.4250000000 1.4758190777105509e-01
4.4750000000 1.4814834059931392e-01
4.5250000000 1.4866539093200631e-01
4.5750000000 1.4913246098943750e-01
4.6250000000 1.4954901004484161e-01
4.6750000000 1.4991455527508679e-01
4.7250000000 1.5022867252229211e-01
4.7750000000 1.5049099696446205e-01
4.8250000000 1.5070122369346559e-01
4.8750000000 1.5085910819891613e-01
4.9250000000 1.5096446675673997e-01
4.9750000000 1.5101717672145995e-01
5.0250000000 1.5101717672145995e-01
5.0750000000 1.5096446675673997e-01
5.1250000000 1.5085910819891613e-01
5.1750000000 1.5070122369346561e-01
5.2250000000 1.5049099696446205e-01
5.2750000000 1.5022867252229211e-01
5.3250000000 1.4991455527508676e-01
5.3750000000 1.4954901004484158e-01
5.4250000000 1.4913246098943744e-01
5.4750000000 1.4866539093200631e-01
5.5250000000 1.4814834059931389e-01
5.5750000000 1.4758190777105509e-01
5.6250000000 1.4696674634217141e-01
5.6750000000 1.4630356530050997e-01
5.7250000000 1.4559312762234281e-01
5.7750000000 1.4483624908845810e-01
5.8250000000 1.4403379702371646e-01
5.8750000000 1.4318668896313880e-01
5.9250000000 1.4229589124775405e-01
5.9750000000 1.4136241755358631e-01
6.0250000000 1.4038732735730100e-01
6.0750000000 1.3937172434215775e-01
6.1250000000 1.3831675474803218e-01
6.1750000000 1.3722360566937392e-01
6.2250000000 1.3609350330505615e-01
6.2750000000 1.3492771116415131e-01
6.3250000000 1.3372752823172962e-01
6.3750000000 1.3249428709882841e-01
6.4250000000 1.3122935206077757e-01
6.4750000000 1.2993411718808856e-01
6.5250000000 1.2861000437412567e-01
6.5750000000 1.2725846136377378e-01
6.6250000000 1.2588095976730085e-01
6.6750000000 1.2447899306358232e-01
6.7250000000 1.2305407459681340e-01
6.7750000000 1.2160773557077768e-01
6.8250000000 1.2014152304467482e-01
6.8750000000 1.1865699793442899e-01
6.9250000000 1.1715573302330887e-01
6.9750000000 1.1563931098558812e-01
7.0250000000 1.1410932242686168e-01
7.0750000000 1.1256736394451064e-01
7.1250000000 1.1101503621167641e-01
7.1750000000 1.0945394208796232e-01
7.2250000000 1.0788568475993246e-01
7.2750000000 1.0631186591431978e-01
7.3250000000 1.0473408394669076e-01
7.3750000000 1.0315393220814439e-01
7.4250000000 1.0157299729244632e-01
7.4750000000 9.9992857365818796e-02
