# t=5.00
# x u
0.0250000000 7.7230209540670350e-02
0.0750000000 7.7252580305765636e-02
0.1250000000 7.7297300154178031e-02
0.1750000000 7.7364325742187892e-02
0.2250000000 7.7453592103794405e-02
0.2750000000 7.7565012710172229e-02
0.3250000000 7.7698479548884453e-02
0.3750000000 7.7853863222797956e-02
0.4250000000 7.8031013068633887e-02
0.4750000000 7.8229757295072422e-02
0.5250000000 7.8449903140317079e-02
0.5750000000 7.8691237049010571e-02
0.6250000000 7.8953524868379865e-02
0.6750000000 7.9236512063474929e-02
0.7250000000 7.9539923951350594e-02
0.7750000000 7.9863465954028323e-02
0.8250000000 8.0206823870059105e-02
0.8750000000 8.0569664164495347e-02
0.9250000000 8.0951634277064824e-02
0.9750000000 8.1352362948325430e-02
1.0250000000 8.1771460563564657e-02
1.0750000000 8.2208519514193307e-02
1.1250000000 8.2663114576367727e-02
1.1750000000 8.3134803306560534e-02
1.2250000000 8.3623126453784197e-02
1.2750000000 8.4127608388156805e-02
1.3250000000 8.4647757545485008e-02
1.3750000000 8.5183066887522488e-02
1.4250000000 8.5733014377548461e-02
1.4750000000 8.6297063470894414e-02
1.5250000000 8.6874663620032377e-02
1.5750000000 8.7465250793822669e-02
1.6250000000 8.8068248010503503e-02
1.6750000000 8.8683065883990192e-02
1.7250000000 8.9309103183035421e-02
1.7750000000 8.9945747402788059e-02
1.8250000000 9.0592375348272122e-02
1.8750000000 9.1248353729292880e-02
1.9250000000 9.1913039766262777e-02
1.9750000000 9.2585781806424322e-02
2.0250000000 9.3265919949933676e-02
2.0750000000 9.3952786685254364e-02
2.1250000000 9.4645707533296194e-02
2.1750000000 9.5344001699721709e-02
2.2250000000 9.6046982734829062e-02
2.2750000000 9.6753959200407066e-02
2.3250000000 9.7464235342946362e-02
2.3750000000 9.8177111772578485e-02
2.4250000000 9.8891886147102981e-02
2.4750000000 9.9607853860452067e-02
2.5250000000 1.0032430873493196e-01
2.5750000000 1.0104054371656958e-01
2.6250000000 1.0175585157288528e-01
2.6750000000 1.0246952559240238e-01
2.7250000000 1.0318086028519753e-01
2.7750000000 1.0388915208378804e-01
2.8250000000 1.0459370004364607e-01
2.8750000000 1.0529380654262427e-01
2.9250000000 1.0598877797857219e-01
2.9750000000 1.0667792546441876e-01
3.0250000000 1.0736056551999346e-01
3.0750000000 1.0803602075985581e-01
3.1250000000 1.0870362057640237e-01
3.1750000000 1.0936270181751882e-01
3.2250000000 1.1001260945804633e-01
3.2750000000 1.1065269726433226e-01
3.3250000000 1.1128232845113775e-01
3.3750000000 1.1190087633017859e-01
3.4250000000 1.1250772494957965e-01
3.4750000000 1.1310226972352916e-01
3.5250000000 1.1368391805142565e-01
3.5750000000 1.1425208992581729e-01
3.6250000000 1.1480621852844283e-01
3.6750000000 1.1534575081369250e-01
3.7250000000 1.1587014807881792e-01
3.7750000000 1.1637888652023212e-01
3.8250000000 1.1687145777525303e-01
3.8750000000 1.1734736944865806e-01
3.9250000000 1.1780614562343208e-01
3.9750000000 1.1824732735510643e-01
4.0250000000 1.1867047314910421e-01
4.0750000000 1.1907515942052412e-01
4.1250000000 1.1946098093581384e-01
4.1750000000 1.1982755123580424e-01
4.2250000000 1.2017450303959532e-01
4.2750000000 1.2050148862880636e-01
4.3250000000 1.2080818021172554e-01
4.3750000000 1.2109427026691631e-01
4.4250000000 1.2135947186586230e-01
4.4750000000 1.2160351897425661e-01
4.5250000000 1.2182616673156657e-01
4.5750000000 1.2202719170853099e-01
4.6250000000 1.2220639214227304e-01
4.6750000000 1.2236358814873924e-01
4.7250000000 1.2249862191220214e-01
4.7750000000 1.2261135785159250e-01
4.8250000000 1.2270168276345489e-01
4.8750000000 1.2276950594134972e-01
4.9250000000 1.2281475927155330e-01
4.9750000000 1.2283739730493713e-01
5.0250000000 1.2283739730493712e-01
5.0750000000 1.2281475927155332e-01
5.1250000000 1.2276950594134972e-01
5.1750000000 1.2270168276345485e-01
5.2250000000 1.2261135785159244e-01
5.2750000000 1.2249862191220212e-01
5.3250000000 1.2236358814873921e-01
5.3750000000 1.2220639214227302e-01
5.4250000000 1.2202719170853099e-01
5.4750000000 1.2182616673156657e-01
5.5250000000 1.2160351897425660e-01
5.5750000000 1.2135947186586230e-01
5.6250000000 1.2109427026691631e-01
5.6750000000 1.2080818021172557e-01
5.7250000000 1.2050148862880639e-01
5.7750000000 1.2017450303959534e-01
5.8250000000 1.1982755123580426e-01
5.8750000000 1.1946098093581384e-01
5.9250000000 1.1907515942052413e-01
5.9750000000 1.1867047314910424e-01
6.0250000000 1.1824732735510646e-01
6.0750000000 1.1780614562343211e-01
6.1250000000 1.1734736944865812e-01
6.1750000000 1.1687145777525308e-01
6.2250000000 1.1637888652023218e-01
6.2750000000 1.1587014807881799e-01
6.3250000000 1.1534575081369255e-01
6.3750000000 1.1480621852844290e-01
6.4250000000 1.1425208992581737e-01
6.4750000000 1.1368391805142575e-01
6.5250000000 1.1310226972352926e-01
6.5750000000 1.1250772494957972e-01
6.6250000000 1.1190087633017869e-01
6.6750000000 1.1128232845113784e-01
6.7250000000 1.1065269726433233e-01
6.7750000000 1.1001260945804640e-01
6.8250000000 1.0936270181751889e-01
6.8750000000 1.0870362057640245e-01
6.9250000000 1.0803602075985591e-01
6.9750000000 1.0736056551999355e-01
7.0250000000 1.0667792546441887e-01
7.0750000000 1.0598877797857230e-01
7.1250000000 1.0529380654262441e-01
7.1750000000 1.0459370004364618e-01
7.2250000000 1.0388915208378814e-01
7.2750000000 1.0318086028519764e-01
7.3250000000 1.0246952559240249e-01
7.3750000000 1.0175585157288539e-01
7.4250000000 1.0104054371656968e-01
7.4750000000 1.0032430873493206e-01
7.5250000000 9.9607853860452178e-02
7.5750000000 9.8891886147103092e-02
7.6250000000 9.8177111772578610e-02
7.6750000000 9.7464235342946501e-02
7.7250000000 9.6753959200407219e-02
