# t=2.00
# x u
0.0250000000 1.4355853860854137e-03
0.0750000000 2.8726410363142736e-03
0.1250000000 4.3126336299594802e-03
0.1750000000 5.7570226798677885e-03
0.2250000000 7.2072569575552126e-03
0.2750000000 8.6647709283315423e-03
0.3250000000 1.0130981199894602e-02
0.3750000000 1.1607282987917340e-02
0.4250000000 1.3095046602252258e-02
0.4750000000 1.4595613957497351e-02
0.5250000000 1.6110295111804070e-02
0.5750000000 1.7640364837959790e-02
0.6250000000 1.9187059230943063e-02
0.6750000000 2.0751572356328081e-02
0.7250000000 2.2335052944103172e-02
0.7750000000 2.3938601132664994e-02
0.8250000000 2.5563265267953106e-02
0.8750000000 2.7210038762896668e-02
0.9250000000 2.8879857022553617e-02
0.9750000000 3.0573594440530760e-02
1.0250000000 3.2292061472477616e-02
1.0750000000 3.4036001792645855e-02
1.1250000000 3.5806089539696502e-02
1.1750000000 3.7602926658116660e-02
1.2250000000 3.9427040341773155e-02
1.2750000000 4.1278880586280389e-02
1.3250000000 4.3158817856990689e-02
1.3750000000 4.5067140879525076e-02
1.4250000000 4.7004054559848969e-02
1.4750000000 4.8969678040957199e-02
1.5250000000 5.0964042903265269e-02
1.5750000000 5.2987091515805787e-02
1.6250000000 5.5038675545298302e-02
1.6750000000 5.7118554630097511e-02
1.7250000000 5.9226395225924253e-02
1.7750000000 6.1361769630147556e-02
1.8250000000 6.3524155191211032e-02
1.8750000000 6.5712933709582630e-02
1.9250000000 6.7927391036352869e-02
1.9750000000 7.0166716875311591e-02
2.0250000000 7.2430004793998470e-02
2.0750000000 7.4716252448845014e-02
2.1250000000 7.7024362029109589e-02
2.1750000000 7.9353140923848570e-02
2.2250000000 8.1701302615670948e-02
2.2750000000 8.4067467804486595e-02
2.3250000000 8.6450165763887366e-02
2.3750000000 8.8847835932190269e-02
2.4250000000 9.1258829739530228e-02
2.4750000000 9.3681412671715522e-02
2.5250000000 9.6113766570854714e-02
2.5750000000 9.8553992172033283e-02
2.6250000000 1.0100011187456245e-01
2.6750000000 1.0345007274554632e-01
2.7250000000 1.0590174975271886e-01
2.7750000000 1.0835294922269212e-01
2.8250000000 1.1080141251993737e-01
2.8750000000 1.1324481994099173e-01
2.9250000000 1.1568079481755193e-01
2.9750000000 1.1810690782128488e-01
3.0250000000 1.2052068146235813e-01
3.0750000000 1.2291959477287409e-01
3.1250000000 1.2530108816558763e-01
3.1750000000 1.2766256845749568e-01
3.2250000000 1.3000141404712195e-01
3.2750000000 1.3231498023357577e-01
3.3250000000 1.3460060466475254e-01
3.3750000000 1.3685561290136239e-01
3.4250000000 1.3907732408283341e-01
3.4750000000 1.4126305668053390e-01
3.5250000000 1.4341013432320313e-01
3.5750000000 1.4551589167897322e-01
3.6250000000 1.4757768037790941e-01
3.6750000000 1.4959287495859599e-01
3.7250000000 1.5155887882195310e-01
3.7750000000 1.5347313017518760e-01
3.8250000000 1.5533310794856281e-01
3.8750000000 1.5713633766751725e-01
3.9250000000 1.5888039726257591e-01
3.9750000000 1.6056292279947831e-01
4.0250000000 1.6218161411199628e-01
4.0750000000 1.6373424032003528e-01
4.1250000000 1.6521864521580354e-01
4.1750000000 1.6663275250109116e-01
4.2250000000 1.6797457085903436e-01
4.2750000000 1.6924219884413749e-01
4.3250000000 1.7043382957479386e-01
4.3750000000 1.7154775521308097e-01
4.4250000000 1.7258237121720382e-01
4.4750000000 1.7353618035262419e-01
4.5250000000 1.7440779644863422e-01
4.5750000000 1.7519594788791407e-01
4.6250000000 1.7589948081744744e-01
4.6750000000 1.7651736207005442e-01
4.7250000000 1.7704868178673414e-01
4.7750000000 1.7749265573098610e-01
4.8250000000 1.7784862728729461e-01
4.8750000000 1.7811606913701067e-01
4.9250000000 1.7829458460594766e-01
4.9750000000 1.7838390867911103e-01
5.0250000000 1.7838390867911103e-01
5.0750000000 1.7829458460594763e-01
5.1250000000 1.7811606913701064e-01
5.1750000000 1.7784862728729456e-01
5.2250000000 1.7749265573098610e-01
5.2750000000 1.7704868178673411e-01
5.3250000000 1.7651736207005436e-01
5.3750000000 1.7589948081744738e-01
5.4250000000 1.7519594788791401e-01
5.4750000000 1.7440779644863419e-01
5.5250000000 1.7353618035262414e-01
5.5750000000 1.7258237121720379e-01
5.6250000000 1.7154775521308097e-01
5.6750000000 1.7043382957479386e-01
5.7250000000 1.6924219884413749e-01
5.7750000000 1.6797457085903439e-01
5.8250000000 1.6663275250109122e-01
5.8750000000 1.6521864521580359e-01
5.9250000000 1.6373424032003533e-01
5.9750000000 1.6218161411199633e-01
6.0250000000 1.6056292279947840e-01
6.0750000000 1.5888039726257597e-01
6.1250000000 1.5713633766751728e-01
6.1750000000 1.5533310794856287e-01
6.2250000000 1.5347313017518766e-01
6.2750000000 1.5155887882195310e-01
6.3250000000 1.4959287495859597e-01
6.3750000000 1.4757768037790941e-01
6.4250000000 1.4551589167897322e-01
6.4750000000 1.4341013432320318e-01
6.5250000000 1.4126305668053396e-01
6.5750000000 1.3907732408283346e-01
6.6250000000 1.3685561290136244e-01
6.6750000000 1.3460060466475265e-01
6.7250000000 1.3231498023357591e-01
6.7750000000 1.3000141404712207e-01
6.8250000000 1.2766256845749585e-01
6.8750000000 1.2530108816558783e-01
6.9250000000 1.2291959477287429e-01
6.9750000000 1.2052068146235831e-01
7.0250000000 1.1810690782128506e-01
7.0750000000 1.1568079481755209e-01
7.1250000000 1.1324481994099185e-01
7.1750000000 1.1080141251993747e-01
7.2250000000 1.0835294922269222e-01
7.2750000000 1.0590174975271893e-01
7.3250000000 1.0345007274554639e-01
7.3750000000 1.0100011187456251e-01
7.4250000000 9.8553992172033339e-02
7.4750000000 9.6113766570854728e-02
7.5250000000 9.3681412671715536e-02
7.5750000000 9.1258829739530242e-02
7.6250000000 8.8847835932190283e-02
7.6750000000 8.6450165763887407e-02
7.7250000000 8.4067467804486637e-02
7.7750000000 8.1701302615670990e-02
7.8250000000 7.9353140923848597e-02
7.8750000000 7.7024362029109603e-02
7.9250000000 7.4716252448845041e-02
7.9750000000 7.2430004793998470e-02
8.0250000000 7.0166716875311591e-02
8.0750000000 6.7927391036352869e-02
