# t=3.00
# x u
0.0250000000 1.7827161989757202e-03
0.0750000000 3.5658186853493603e-03
0.1250000000 5.3496919145615785e-03
0.1750000000 7.1347166819860893e-03
0.2250000000 8.9212683025092655e-03
0.2750000000 1.0709714801629027e-02
0.3250000000 1.2500415121885393e-02
0.3750000000 1.4293717348411604e-02
0.4250000000 1.6089956957365360e-02
0.4750000000 1.7889455090964387e-02
0.5250000000 1.9692516862809477e-02
0.5750000000 2.1499429697130774e-02
0.6250000000 2.3310461705540277e-02
0.6750000000 2.5125860104814136e-02
0.7250000000 2.6945849679163563e-02
0.7750000000 2.8770631290381876e-02
0.8250000000 3.0600380439178280e-02
0.8750000000 3.2435245880925820e-02
0.9250000000 3.4275348298961797e-02
0.9750000000 3.6120779038483930e-02
1.0250000000 3.7971598903984265e-02
1.0750000000 3.9827837023055888e-02
1.1250000000 4.1689489779294167e-02
1.1750000000 4.3556519816895803e-02
1.2250000000 4.5428855119433315e-02
1.2750000000 4.7306388165152938e-02
1.3250000000 4.9188975161006850e-02
1.3750000000 5.1076435357489125e-02
1.4250000000 5.2968550446197173e-02
1.4750000000 5.4865064041887915e-02
1.5250000000 5.6765681250639632e-02
1.5750000000 5.8670068325567745e-02
1.6250000000 6.0577852411374540e-02
1.6750000000 6.2488621378840634e-02
1.7250000000 6.4401923750188717e-02
1.7750000000 6.6317268716069452e-02
1.8250000000 6.8234126244733767e-02
1.8750000000 7.0151927283767623e-02
1.9250000000 7.2070064054573446e-02
1.9750000000 7.3987890439587353e-02
2.0250000000 7.5904722462023816e-02
2.0750000000 7.7819838857740187e-02
2.1250000000 7.9732481738611624e-02
2.1750000000 8.1641857346604396e-02
2.2250000000 8.3547136897531876e-02
2.2750000000 8.5447457513272748e-02
2.3250000000 8.7341923241027686e-02
2.3750000000 8.9229606157985975e-02
2.4250000000 9.1109547559571541e-02
2.4750000000 9.2980759229236154e-02
2.5250000000 9.4842224787568985e-02
2.5750000000 9.6692901118294233e-02
2.6250000000 9.8531719868535900e-02
2.6750000000 1.0035758902053871e-01
2.7250000000 1.0216939453184867e-01
2.7750000000 1.0396600204077618e-01
2.8250000000 1.0574625863378931e-01
2.8750000000 1.0750899467131575e-01
2.9250000000 1.0925302566826878e-01
2.9750000000 1.1097715422545716e-01
3.0250000000 1.1268017200789052e-01
3.0750000000 1.1436086176585206e-01
3.1250000000 1.1601799939447863e-01
3.1750000000 1.1765035602746632e-01
3.2250000000 1.1925670016040704e-01
3.2750000000 1.2083579979915879e-01
3.3250000000 1.2238642462856067e-01
3.3750000000 1.2390734819672225e-01
3.4250000000 1.2539735011004738e-01
3.4750000000 1.2685521823409399e-01
3.5250000000 1.2827975089532598e-01
3.5750000000 1.2966975907877809e-01
3.6250000000 1.3102406861663535e-01
3.6750000000 1.3234152236271723e-01
3.7250000000 1.3362098234786335e-01
3.7750000000 1.3486133191123356e-01
3.8250000000 1.3606147780256581e-01
3.8750000000 1.3722035225047835e-01
3.9250000000 1.3833691499196080e-01
3.9750000000 1.3941015525826703e-01
4.0250000000 1.4043909371250612e-01
4.0750000000 1.4142278433432443e-01
4.1250000000 1.4236031624717913e-01
4.1750000000 1.4325081548382548e-01
4.2250000000 1.4409344668577401e-01
4.2750000000 1.4488741473261768e-01
4.3250000000 1.4563196629728842e-01
4.3750000000 1.4632639132346903e-01
4.4250000000 1.4697002442156673e-01
4.4750000000 1.4756224617984359e-01
4.5250000000 1.4810248438749946e-01
4.5750000000 1.4859021516671064e-01
4.6250000000 1.4902496401084644e-01
4.6750000000 1.4940630672631033e-01
4.7250000000 1.4973387027568646e-01
4.7750000000 1.5000733352011178e-01
4.8250000000 1.5022642785904089e-01
4.8750000000 1.5039093776582180e-01
4.9250000000 1.5050070121775705e-01
4.9750000000 1.5055561001958601e-01
5.0250000000 1.5055561001958598e-01
5.0750000000 1.5050070121775699e-01
5.1250000000 1.5039093776582174e-01
5.1750000000 1.5022642785904086e-01
5.2250000000 1.5000733352011175e-01
5.2750000000 1.4973387027568646e-01
5.3250000000 1.4940630672631039e-01
5.3750000000 1.4902496401084647e-01
