# t=5.00
# x u
0.0250000000 1.7431262999010907e-03
0.0750000000 3.4859712686098323e-03
0.1250000000 5.2282533265602411e-03
0.1750000000 6.9696903981936054e-03
0.2250000000 8.7099996658467765e-03
0.2750000000 1.0448897325897320e-02
0.3250000000 1.2186098347909936e-02
0.3750000000 1.3921316237521870e-02
0.4250000000 1.5654262803796566e-02
0.4750000000 1.7384647931764925e-02
0.5250000000 1.9112179360861792e-02
0.5750000000 2.0836562469952163e-02
0.6250000000 2.2557500069626688e-02
0.6750000000 2.4274692202429976e-02
0.7250000000 2.5987835951667079e-02
0.7750000000 2.7696625259414531e-02
0.8250000000 2.9400750754341572e-02
0.8750000000 3.1099899589924984e-02
0.9250000000 3.2793755293617832e-02
0.9750000000 3.4481997627507532e-02
1.0250000000 3.6164302460973005e-02
1.0750000000 3.7840341655823340e-02
1.1250000000 3.9509782964372644e-02
1.1750000000 4.1172289940876093e-02
1.2250000000 4.2827521866722534e-02
1.2750000000 4.4475133689747370e-02
1.3250000000 4.6114775977997950e-02
1.3750000000 4.7746094888250608e-02
1.4250000000 4.9368732149545305e-02
1.4750000000 5.0982325061969598e-02
1.5250000000 5.2586506510889031e-02
1.5750000000 5.4180904996785885e-02
1.6250000000 5.5765144680832726e-02
1.6750000000 5.7338845446291288e-02
1.7250000000 5.8901622975790796e-02
1.7750000000 6.0453088844504108e-02
1.8250000000 6.1992850629202914e-02
1.8750000000 6.3520512033137133e-02
1.9250000000 6.5035673026647423e-02
1.9750000000 6.6537930003382900e-02
2.0250000000 6.8026875951960677e-02
2.0750000000 6.9502100642867742e-02
2.1250000000 7.0963190830370462e-02
2.1750000000 7.2409730469161881e-02
2.2250000000 7.3841300945443014e-02
2.2750000000 7.5257481322099973e-02
2.3250000000 7.6657848597606187e-02
2.3750000000 7.8041977978246288e-02
2.4250000000 7.9409443163226734e-02
2.4750000000 8.0759816642208007e-02
2.5250000000 8.2092670004762933e-02
2.5750000000 8.3407574261237599e-02
2.6250000000 8.4704100174463504e-02
2.6750000000 8.5981818601743323e-02
2.7250000000 8.7240300846507621e-02
2.7750000000 8.8479119019015645e-02
2.8250000000 8.9697846405451157e-02
2.8750000000 9.0896057844743056e-02
2.9250000000 9.2073330112420457e-02
2.9750000000 9.3229242310794005e-02
3.0250000000 9.4363376264738674e-02
3.0750000000 9.5475316922337183e-02
3.1250000000 9.6564652759630831e-02
3.1750000000 9.7630976188711638e-02
3.2250000000 9.8673883968379755e-02
3.2750000000 9.9692977616581580e-02
3.3250000000 1.0068786382383667e-01
3.3750000000 1.0165815486685700e-01
3.4250000000 1.0260346902155795e-01
3.4750000000 1.0352343097465889e-01
3.5250000000 1.0441767223307166e-01
3.5750000000 1.0528583153027635e-01
3.6250000000 1.0612755522888766e-01
3.6750000000 1.0694249771862030e-01
3.7250000000 1.0773032180886895e-01
3.7750000000 1.0849069911512665e-01
3.8250000000 1.0922331043847638e-01
3.8750000000 1.0992784613740215e-01
3.9250000000 1.1060400649118024e-01
3.9750000000 1.1125150205412589e-01
4.0250000000 1.1187005399998817e-01
4.0750000000 1.1245939445580426e-01
4.1250000000 1.1301926682454391e-01
4.1750000000 1.1354942609589708e-01
4.2250000000 1.1404963914457990e-01
4.2750000000 1.1451968501555915e-01
4.3250000000 1.1495935519562017e-01
4.3750000000 1.1536845387073107e-01
4.4250000000 1.1574679816868325e-01
4.4750000000 1.1609421838651808e-01
4.5250000000 1.1641055820227986e-01
4.5750000000 1.1669567487066594e-01
4.6250000000 1.1694943940217828e-01
4.6750000000 1.1717173672541283e-01
4.7250000000 1.1736246583215754e-01
4.7750000000 1.1752153990500501e-01
4.8250000000 1.1764888642721991e-01
4.8750000000 1.1774444727463873e-01
4.9250000000 1.1780817878941460e-01
