# t=4.00
# x u
0.0250000000 1.8255849692573917e-03
0.0750000000 3.6510708643138559e-03
0.1250000000 5.4763578786309634e-03
0.1750000000 7.3013447428005931e-03
0.2250000000 9.1259279976195692e-03
0.2750000000 1.0950001272565072e-02
0.3250000000 1.2773454571453411e-02
0.3750000000 1.4596173567049642e-02
0.4250000000 1.6418038906376702e-02
0.4750000000 1.8238925528450189e-02
0.5250000000 2.0058701996138819e-02
0.5750000000 2.1877229843820720e-02
0.6250000000 2.3694362942472551e-02
0.6750000000 2.5509946883791563e-02
0.7250000000 2.7323818384910423e-02
0.7750000000 2.9135804715221415e-02
0.8250000000 3.0945723146779326e-02
0.8750000000 3.2753380429702841e-02
0.9250000000 3.4558572293940923e-02
0.9750000000 3.6361082978714654e-02
1.0250000000 3.8160684790886218e-02
1.0750000000 3.9957137693445083e-02
1.1250000000 4.1750188925236797e-02
1.1750000000 4.3539572652993588e-02
1.2250000000 4.5325009656656090e-02
1.2750000000 4.7106207048904558e-02
1.3250000000 4.8882858029744194e-02
1.3750000000 5.0654641676913463e-02
1.4250000000 5.2421222772807308e-02
1.4750000000 5.4182251668527741e-02
1.5250000000 5.5937364185593974e-02
1.5750000000 5.7686181555762266e-02
1.6250000000 5.9428310399322684e-02
1.6750000000 6.1163342742155666e-02
1.7250000000 6.2890856071746548e-02
1.7750000000 6.4610413432270530e-02
1.8250000000 6.6321563558774513e-02
1.8750000000 6.8023841050395606e-02
1.9250000000 6.9716766582470086e-02
1.9750000000 7.1399847157299370e-02
2.0250000000 7.3072576393254124e-02
2.0750000000 7.4734434851811249e-02
2.1250000000 7.6384890402033501e-02
2.1750000000 7.8023398621917095e-02
2.2250000000 7.9649403235949379e-02
2.2750000000 8.1262336588135989e-02
2.3250000000 8.2861620149676490e-02
2.3750000000 8.4446665060388004e-02
2.4250000000 8.6016872702898414e-02
2.4750000000 8.7571635308555315e-02
2.5250000000 8.9110336593923256e-02
2.5750000000 9.0632352426669976e-02
2.6250000000 9.2137051519573507e-02
2.6750000000 9.3623796151316246e-02
2.7250000000 9.5091942912666622e-02
2.7750000000 9.6540843476590477e-02
2.8250000000 9.7969845390774205e-02
2.8750000000 9.9378292890989012e-02
2.9250000000 1.0076552773367274e-01
2.9750000000 1.0213089004605908e-01
3.0250000000 1.0347371919213885e-01
3.0750000000 1.0479335465269790e-01
3.1250000000 1.0608913691763920e-01
3.1750000000 1.0736040838876354e-01
3.2250000000 1.0860651429115488e-01
3.2750000000 1.0982680359129088e-01
3.3250000000 1.1102062991997862e-01
3.3750000000 1.1218735249819950e-01
3.4250000000 1.1332633706393379e-01
3.4750000000 1.1443695679802884e-01
3.5250000000 1.1551859324717002e-01
3.5750000000 1.1657063724201491e-01
3.6250000000 1.1759248980855629e-01
3.6750000000 1.1858356307078852e-01
3.7250000000 1.1954328114276623e-01
3.7750000000 1.2047108100816223e-01
3.8250000000 1.2136641338545409e-01
3.8750000000 1.2222874357689557e-01
3.9250000000 1.2305755229946042e-01
3.9750000000 1.2385233649598086e-01
4.0250000000 1.2461261012474292e-01
4.0750000000 1.2533790492584362e-01
4.1250000000 1.2602777116266292e-01
4.1750000000 1.2668177833685382e-01
4.2250000000 1.2729951587530935e-01
4.2750000000 1.2788059378762373e-01
4.3250000000 1.2842464329262626e-01
4.3750000000 1.2893131741263270e-01
4.4250000000 1.2940029153412652e-01
4.4750000000 1.2983126393365452e-01
4.5250000000 1.3022395626779559e-01
4.5750000000 1.3057811402613773e-01
4.6250000000 1.3089350694627924e-01
4.6750000000 1.3116992938995098e-01
4.7250000000 1.3140720067944112e-01
4.7750000000 1.3160516539358896e-01
4.8250000000 1.3176369362270410e-01
4.8750000000 1.3188268118185367e-01
4.9250000000 1.3196204978205361e-01
4.9750000000 1.3200174715899016e-01
5.0250000000 1.3200174715899018e-01
5.0750000000 1.3196204978205367e-01
5.1250000000 1.3188268118185370e-01
5.1750000000 1.3176369362270413e-01
5.2250000000 1.3160516539358902e-01
5.2750000000 1.3140720067944114e-01
5.3250000000 1.3116992938995103e-01
5.3750000000 1.3089350694627930e-01
5.4250000000 1.3057811402613781e-01
5.4750000000 1.3022395626779570e-01
5.5250000000 1.2983126393365468e-01
