# t=1.00
# x u
0.0250000000 5.7442922290917473e-04
0.0750000000 1.1514471340518470e-03
0.1250000000 1.7336430781616581e-03
0.1750000000 2.3236076756686466e-03
0.2250000000 2.9239333674731562e-03
0.2750000000 3.5372148485500396e-03
0.3250000000 4.1660493541929846e-03
0.3750000000 4.8130367634527018e-03
0.4250000000 5.4807794852540677e-03
0.4750000000 6.1718820937969061e-03
0.5250000000 6.8889506811537988e-03
0.5750000000 7.6345918964765749e-03
0.6250000000 8.4114116429117747e-03
0.6750000000 9.2220134052041040e-03
0.7250000000 1.0068996183035722e-02
0.7750000000 1.0954952007407027e-02
0.8250000000 1.1882463019809775e-02
0.8750000000 1.2854098096573500e-02
0.9250000000 1.3872409003577654e-02
0.9750000000 1.4939926069510116e-02
1.0250000000 1.6059153369011661e-02
1.0750000000 1.7232563410368489e-02
1.1250000000 1.8462591325892036e-02
1.1750000000 1.9751628566746553e-02
1.2250000000 2.1102016107738229e-02
1.2750000000 2.2516037171451050e-02
1.3250000000 2.3995909485087969e-02
1.3750000000 2.5543777087434383e-02
1.4250000000 2.7161701707483638e-02
1.4750000000 2.8851653740431207e-02
1.5250000000 3.0615502850930773e-02
1.5750000000 3.2455008237687377e-02
1.6250000000 3.4371808597613067e-02
1.6750000000 3.6367411831860527e-02
1.7250000000 3.8443184540050419e-02
1.7750000000 4.0600341352887703e-02
1.8250000000 4.2839934157088255e-02
1.8750000000 4.5162841270077789e-02
1.9250000000 4.7569756625245679e-02
1.9750000000 5.0061179031604078e-02
2.0250000000 5.2637401574483204e-02
2.0750000000 5.5298501226353672e-02
2.1250000000 5.8044328738973035e-02
2.1750000000 6.0874498889775558e-02
2.2250000000 6.3788381156729398e-02
2.2750000000 6.6785090896746918e-02
2.3250000000 6.9863481103124236e-02
2.3750000000 7.3022134817381054e-02
2.4250000000 7.6259358270249877e-02
2.4750000000 7.9573174825408793e-02
2.5250000000 8.2961319797844907e-02
2.5750000000 8.6421236216470743e-02
2.6250000000 8.9950071597782372e-02
2.6750000000 9.3544675793946430e-02
2.7250000000 9.7201599974732669e-02
2.7750000000 1.0091709679817983e-01
2.8250000000 1.0468712181980364e-01
2.8750000000 1.0850733618454697e-01
2.9250000000 1.1237311063955216e-01
2.9750000000 1.1627953089923490e-01
3.0250000000 1.2022140438708735e-01
3.0750000000 1.2419326837117337e-01
3.1250000000 1.2818939950244360e-01
3.1750000000 1.3220382475683717e-01
3.2250000000 1.3623033377370314e-01
3.2750000000 1.4026249257442136e-01
3.3250000000 1.4429365863628912e-01
3.3750000000 1.4831699728782638e-01
3.4250000000 1.5232549938270679e-01
3.4750000000 1.5631200020060559e-01
3.5250000000 1.6026919951444127e-01
3.5750000000 1.6418968275484447e-01
3.6250000000 1.6806594319428242e-01
3.6750000000 1.7189040506517245e-01
3.7250000000 1.7565544751860329e-01
3.7750000000 1.7935342932301312e-01
3.8250000000 1.8297671419541606e-01
3.8750000000 1.8651769665158646e-01
3.9250000000 1.8996882825606226e-01
3.9750000000 1.9332264414796843e-01
4.0250000000 1.9657178971454503e-01
4.0750000000 1.9970904728092903e-01
4.1250000000 2.0272736268223215e-01
4.1750000000 2.0561987158230943e-01
4.2250000000 2.0837992540284914e-01
4.2750000000 2.1100111672655958e-01
4.3250000000 2.1347730403929102e-01
4.3750000000 2.1580263567791691e-01
4.4250000000 2.1797157285370908e-01
4.4750000000 2.1997891162476046e-01
4.5250000000 2.2181980369572393e-01
4.5750000000 2.2348977592871910e-01
4.6250000000 2.2498474845567504e-01
4.6750000000 2.2630105128959072e-01
4.7250000000 2.2743543934015381e-01
4.7750000000 2.2838510574781207e-01
4.8250000000 2.2914769345967587e-01
4.8750000000 2.2972130498048560e-01
4.9250000000 2.3010451024222356e-01
4.9750000000 2.3029635254672115e-01
5.0250000000 2.3029635254672115e-01
5.0750000000 2.3010451024222361e-01
5.1250000000 2.2972130498048562e-01
5.1750000000 2.2914769345967589e-01
5.2250000000 2.2838510574781209e-01
5.2750000000 2.2743543934015387e-01
5.3250000000 2.2630105128959074e-01
5.3750000000 2.2498474845567507e-01
5.4250000000 2.2348977592871916e-01
5.4750000000 2.2181980369572399e-01
5.5250000000 2.1997891162476052e-01
5.5750000000 2.1797157285370916e-01
5.6250000000 2.1580263567791697e-01
5.6750000000 2.1347730403929108e-01
5.7250000000 2.1100111672655963e-01
5.7750000000 2.0837992540284919e-01
5.8250000000 2.0561987158230949e-01
5.8750000000 2.0272736268223218e-01
5.9250000000 1.9970904728092903e-01
5.9750000000 1.9657178971454503e-01
6.0250000000 1.9332264414796840e-01
6.0750000000 1.8996882825606226e-01
6.1250000000 1.8651769665158649e-01
6.1750000000 1.8297671419541606e-01
6.2250000000 1.7935342932301318e-01
6.2750000000 1.7565544751860340e-01
6.3250000000 1.7189040506517261e-01
6.3750000000 1.6806594319428256e-01
6.4250000000 1.6418968275484458e-01
6.4750000000 1.6026919951444135e-01
6.5250000000 1.5631200020060576e-01
6.5750000000 1.5232549938270695e-01
6.6250000000 1.4831699728782652e-01
6.6750000000 1.4429365863628929e-01
6.7250000000 1.4026249257442155e-01
6.7750000000 1.3623033377370336e-01
6.8250000000 1.3220382475683740e-01
6.8750000000 1.2818939950244382e-01
6.9250000000 1.2419326837117356e-01
6.9750000000 1.2022140438708753e-01
7.0250000000 1.1627953089923510e-01
7.0750000000 1.1237311063955234e-01
7.1250000000 1.0850733618454714e-01
7.1750000000 1.0468712181980379e-01
7.2250000000 1.0091709679817995e-01
7.2750000000 9.7201599974732794e-02
7.3250000000 9.3544675793946541e-02
7.3750000000 8.9950071597782469e-02
7.4250000000 8.6421236216470826e-02
7.4750000000 8.2961319797845004e-02
7.5250000000 7.9573174825408877e-02
7.5750000000 7.6259358270249961e-02
7.6250000000 7.3022134817381165e-02
7.6750000000 6.9863481103124375e-02
7.7250000000 6.6785090896747029e-02
7.7750000000 6.3788381156729523e-02
7.8250000000 6.0874498889775683e-02
7.8750000000 5.8044328738973139e-02
7.9250000000 5.5298501226353762e-02
7.9750000000 5.2637401574483295e-02
8.0250000000 5.0061179031604147e-02
8.0750000000 4.7569756625245749e-02
8.1250000000 4.5162841270077858e-02
8.1750000000 4.2839934157088318e-02
8.2250000000 4.0600341352887759e-02
8.2750000000 3.8443184540050475e-02
8.3250000000 3.6367411831860569e-02
8.3750000000 3.4371808597613115e-02
8.4250000000 3.2455008237687412e-02
8.4750000000 3.0615502850930801e-02
8.5250000000 2.8851653740431235e-02
8.5750000000 2.7161701707483651e-02
8.6250000000 2.5543777087434383e-02
8.6750000000 2.3995909485087959e-02
8.7250000000 2.2516037171451030e-02
8.7750000000 2.1102016107738208e-02
8.8250000000 1.9751628566746528e-02
8.8750000000 1.8462591325892005e-02
8.9250000000 1.7232563410368454e-02
8.9750000000 1.6059153369011623e-02
9.0250000000 1.4939926069510074e-02
9.0750000000 1.3872409003577609e-02
9.1250000000 1.2854098096573455e-02
9.1750000000 1.1882463019809733e-02
9.2250000000 1.0954952007406983e-02
9.2750000000 1.0068996183035677e-02
9.3250000000 9.2220134052040589e-03
9.3750000000 8.4114116429117348e-03
9.4250000000 7.6345918964765367e-03
9.4750000000 6.8889506811537632e-03
9.5250000000 6.1718820937968731e-03
9.5750000000 5.4807794852540365e-03
9.6250000000 4.8130367634526740e-03
9.6750000000 4.1660493541929603e-03
9.7250000000 3.5372148485500188e-03
9.7750000000 2.9239333674731397e-03
9.8250000000 2.3236076756686336e-03
9.8750000000 1.7336430781616488e-03
9.9250000000 1.1514471340518405e-03
9.9750000000 5.7442922290917159e-04
